application,tx_id,currency,account,asset,ticker,type,crypto_amount,fiat_amount,comission_amount,note,date,time
MEXC,dcec451b009445bbada1398b5aacedf5,USD,USD,USDT,USDT,Buy,98.65024,98.65024,0.0,,2024-02-11,20:48:46
MEXC,ddb54bd5776e4983966f8a2d8c92d504,USD,USD,USDT,USDT,Sell,14.154525,14.154525,0.0,,2024-02-07,20:55:42
MEXC,ddb54bd5776e4983966f8a2d8c92d504,USD,USD,ALPH,ALPH,Buy,6.27,14.154525,0.0,,2024-02-07,20:55:42
MEXC,9a0e598393cd45fb80ac6ee4466794d1,USD,USD,USDT,USDT,Sell,21.5661522,21.5661522,0.0,,2024-02-06,21:16:35
MEXC,9a0e598393cd45fb80ac6ee4466794d1,USD,USD,ETH,ETH,Buy,0.00906,21.5661522,0.0,,2024-02-06,21:16:35
MEXC,4cac083fd8bd43deb53f4f2e7fa9ad62,USD,USD,USDT,USDT,Sell,11.04315912,11.04315912,0.0,,2024-02-07,20:57:21
MEXC,4cac083fd8bd43deb53f4f2e7fa9ad62,USD,USD,KAS,KAS,Buy,93.24,11.04315912,0.0,,2024-02-07,20:57:21
MEXC,1e986e80fcdb465180d313350caf3eea,USD,USD,MINA,MINA,Sell,15.0,18.948,0.0,,2024-02-21,14:47:16
MEXC,1e986e80fcdb465180d313350caf3eea,USD,USD,USDT,USDT,Buy,18.948,18.948,0.0,,2024-02-21,14:47:16
MEXC,69169a2008184c4fb07729fb9c049902,USD,USD,ZEPH,ZEPH,Sell,0.5,10.7875,0.0,,2024-02-21,14:47:31
MEXC,69169a2008184c4fb07729fb9c049902,USD,USD,USDT,USDT,Buy,10.7875,10.7875,0.0,,2024-02-21,14:47:31
MEXC,92f7ba8734b34c9abbe3d73b08c694e8,USD,USD,USDT,USDT,Sell,99.89272,99.89272,0.0,,2024-02-10,17:55:58
MEXC,92f7ba8734b34c9abbe3d73b08c694e8,USD,USD,DYM,DYM,Buy,13.36,99.89272,0.0,,2024-02-10,17:55:58
MEXC,ad6ece46a8394defa74514f3c366738b,USD,USD,USDT,USDT,Sell,10.995264,10.995264,0.0,,2024-02-07,20:55:42
MEXC,ad6ece46a8394defa74514f3c366738b,USD,USD,ALPH,ALPH,Buy,4.86,10.995264,0.0,,2024-02-07,20:55:42
